folder_id,real_filename,meeting_date,meeting_name,belongs_to
CT2K7Y508DDE,Textbook Adoption_AP European History_French_ELA_2023-2024.pdf,28/06/2023,Regular Meeting,High School Textbook Adoption
CT2KF4519152,2023-2024 Middle School Student Handbook.pdf,28/06/2023,Regular Meeting,
CT32D5019FDA,Proposal-2nd Revised No Crime with OSP Cyber.pdf,28/06/2023,Regular Meeting,"Property,Casualty and Liability Insurance FY24"
CT3KRR531753,Special Olympics Ohio MOA.pdf,28/06/2023,Regular Meeting,Special Olympics Ohio MOA
CT3KVE53B172,Minutes_Regular Board Meeting_05.24.2023.pdf,28/06/2023,Regular Meeting,Minutes
CT3MPD5C2FE6,Resolution authorizing certificates for chippewa.pdf,28/06/2023,Regular Meeting,Certificates of Financing Improvements
CT3NVP616A8E,23-24 HS PTP Athletics.pdf,28/06/2023,Regular Meeting,2023-2024 Pay to Participate Fees
CT3NWV618FB4,23-24 MS PTP Activities and Athletics (2).pdf,28/06/2023,Regular Meeting,2023-2024 Pay to Participate Fees
CT3QA66741A4,XC SS 06.28.2023.pdf,28/06/2023,Regular Meeting,Supplemental Recommendations
CT6JHC4D3BD5,FY23 Final Estimated Resources.pdf,28/06/2023,Regular Meeting,"Final FY23 Budget Modifications, Appropriations, and Estimated Resources"
CT6JHE4D3BDB,FY23 Final Appropriations.pdf,28/06/2023,Regular Meeting,"Final FY23 Budget Modifications, Appropriations, and Estimated Resources"
CT6JHG4D3BE1,"Revenue Budget Modifications June 28, 2023.pdf",28/06/2023,Regular Meeting,"Final FY23 Budget Modifications, Appropriations, and Estimated Resources"
CT6JHJ4D3BE7,"Expenditure Budget Modifications June 28, 2023.pdf",28/06/2023,Regular Meeting,"Final FY23 Budget Modifications, Appropriations, and Estimated Resources"
CT6JKF4D8C31,Transfer Requests - Board Agenda 6.28.23.pdf,28/06/2023,Regular Meeting,Transfer Request
CT6P525FA957,Certified Staffing Agenda 06.28.2023.pdf,28/06/2023,Regular Meeting,Certified Recommendations
CT6QL7682DD2,"FY24 Appropriations July 1, 2023.pdf",28/06/2023,Regular Meeting,FY24 Appropriations and Estimated Resources
CT6QL9682DDA,"FY24 Certificate of Estimated Resources July 1, 2023.pdf",28/06/2023,Regular Meeting,FY24 Appropriations and Estimated Resources
CT7THY778501,Classified Staffing Agenda 06.28.2023.pdf,28/06/2023,Regular Meeting,Classified Recommendations
CT8HPL47BDDF,2023-2024 Elementary School Student Handbook.pdf,28/06/2023,Regular Meeting,
CT8K7L4FE1C1,ESCNEO Student Placement Cost Memo To District 2023-2024.pdf,19/07/2023,Regular Meeting,
CT8KFP51AF01,2023-2024 STEPS Educational Group Agreement.pdf,19/07/2023,Regular Meeting,STEPS Educational Group Agreement
CT8L7755212D,ESC Agreement (Audiology and or Hearing Impairment) 2023-2024.pdf,19/07/2023,Regular Meeting,ESC Agreement (Audiology and Hearing Impairment)
CT8L8J55444A,ESC Agreement (Visual Impairment) 2023-2024.pdf,19/07/2023,Regular Meeting,ESC Agreement (Visual Impairment)
CT8P7C631CDB,2023-2024 Crime Policy.pdf,28/06/2023,Regular Meeting,"Property,Casualty and Liability Insurance FY24"
CT8PWL669E36,BBCSD-HS Shingle Roof Replacement Project-Bid Results.pdf,28/06/2023,Regular Meeting,High School Roof Bid
CT8PWN669E3F,BBCSD-High School Shingle Roof Replacement Bid Evaluation.pdf,28/06/2023,Regular Meeting,High School Roof Bid
CTAPT662B56E,Highland Real Estate Transfer and Development Agreement_06.20.2023.pdf,05/07/2023,Special Meeting,Highland Property Sale and Transfer and Development Agreement
CTDJCE4C83FA,Certified Staffing Agenda 07.05.2023.pdf,05/07/2023,Special Meeting,Personnel Recommendations
CTFJG74D10E6,Resolution approving sale of highland triban final.pdf,05/07/2023,Special Meeting,Highland Property Sale and Transfer and Development Agreement
CTFP59608EFA,CELL PHONE STIPENDS FY24.pdf,19/07/2023,Regular Meeting,Cell Phone Stipends FY24
CTGL2A53739F,2023-2024 High School Student Handbook Final.pdf,19/07/2023,Regular Meeting,2023-2024 School Handbooks
CTGL2E537741,2023-2024 High School Student Handbook Revisions and Explanations.pdf,19/07/2023,Regular Meeting,2023-2024 School Handbooks
CTGL2J537949,2023-2024 Elementary School Student Handbook.pdf,19/07/2023,Regular Meeting,2023-2024 School Handbooks
CTGL9T5456EE,2023-2024 Middle School Student Handbook.pdf,19/07/2023,Regular Meeting,2023-2024 School Handbooks
CTGNT85F5031,Minutes_Regular Board Meeting_06.28.2023.pdf,19/07/2023,Regular Meeting,Minutes
CTHJ2S4B1C13,Minutes_Special Board Meeting_07.05.2023.pdf,19/07/2023,Regular Meeting,Minutes
CTNH594684CB,XC SS 07.19.2023.pdf,19/07/2023,Regular Meeting,Supplemental Recommendations
CTPLYA575F35,OH Cash Position Report June 2023.pdf,19/07/2023,Regular Meeting,Financial Report
CTPLYD575F3C,June 2023 Checks.pdf,19/07/2023,Regular Meeting,Financial Report
CTPLYF575F46,OH Annual Spending Plan Report June 2023.pdf,19/07/2023,Regular Meeting,Financial Report
CTPLYH576134,Bank Reconciliations FY23.xlsx - June 2023.pdf,19/07/2023,Regular Meeting,Financial Report
CTPLZH579D5F,Transfer Requests - Board Agenda 7.19.23.pdf,19/07/2023,Regular Meeting,
CTPNCD5D0F2C,po1422.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPNCF5D1055,po1662.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPNCK5D1198,po2260.01.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPNCM5D12F1,po2260.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPNCP5D1482,po2266.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPNCR5D15B4,po3122.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPNCT5D172C,po3123.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPNCV5D187A,po3362.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPNCX5D19F5,po4122.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPNCZ5D1B20,po4123.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPND55D1C76,po4362.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPND75D1DAD,po5517.02.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPND95D1EAD,po5517.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPP5X630102,ag2260.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPP5Z630260,ag2266.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPP636304BF,ag3122.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPP66630638,ag3362.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPP686307A3,ag4122.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPP6A63094B,ag4362.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPP6C630AE5,ag5517.pdf,19/07/2023,Regular Meeting,Board Policy Technical Corrections
CTPQF9690E09,FY23 Monthly CFO Report - June 2023.pdf,19/07/2023,Regular Meeting,Financial Report
CTTL6E55030E,Certified Staffing Agenda 07.19.2023.pdf,19/07/2023,Regular Meeting,Certified Recommendations
CTUMAF5A4B0D,Van Purchasing Resolution.pdf,19/07/2023,Regular Meeting,School Van Purchase Resolution
CTUMBH5A722C,BBHCSD Promaster Agreement.pdf,19/07/2023,Regular Meeting,School Van Purchase Resolution
CTUMPS5C3F81,Classified Staffing Agenda 07.19.2023.pdf,19/07/2023,Regular Meeting,Classified Recommendations
CU3FMW3FD8C2,Brecksville-Broadview Heights City School District Commercial Paper & Bankers Acceptances Reports FY23.pdf,23/08/2023,Regular Meeting,Annual Reporting of Commercial Paper ORC 135.142 (C)
CU3FUD40C86F,Minutes_Regular Board Meeting_07.19.2023.pdf,23/08/2023,Regular Meeting,Minutes
CUDGXY45FDA7,Agreement for Provision of Special Education and Certain Related Services (2023-2024)-Brecksville-Broadview Heights.pdf,23/08/2023,Regular Meeting,Bellefaire JCB Agreement
CUEK6G505581,Coaching Credentials Presentation.pptx.pdf,19/07/2023,Regular Meeting,Volunteers Discussion
CUHR836A5EC9,po8120 VOLUNTEERS.pdf,23/08/2023,Regular Meeting,New/Replacement Board Policy ~ Final Reading
CUHRHG6B6AEE,2023-24 Brecksville-Broadview Heights Compass Koinonia Contract.pdf,23/08/2023,Regular Meeting,Koinonia Enterprises Service Contract
CUPQYZ69AD4A,po 3120.09.pdf,23/08/2023,Regular Meeting,New/Replacement Board Policy ~ Final Reading
CUPQZ769B138,po4120.09.pdf,23/08/2023,Regular Meeting,New/Replacement Board Policy ~ Final Reading
CUQKQR4D1E45,Transfer Requests - Board Agenda 8.23.23.pdf,23/08/2023,Regular Meeting,Transfer Request
CUSN885EA563,Check Register July 2024.pdf,23/08/2023,Regular Meeting,Financial Report
CUSN8A5EA568,Annual Spending Plan July 2024.pdf,23/08/2023,Regular Meeting,Financial Report
CUSN8C5EA56E,Cash Position July 2024.pdf,23/08/2023,Regular Meeting,Financial Report
CUWLJS51DBEC,Volleyball Supplemental MOU 8.23.23.pdf,23/08/2023,Regular Meeting,Supplemental MOU
CUWMDL5AC0AA,Certified Staffing Agenda 08.23.2023.pdf,23/08/2023,Regular Meeting,Certified Recommendations
CUWMEB5ACF41,Classified Staffing Agenda 08.23.2023.pdf,23/08/2023,Regular Meeting,Classified Recommendations
CUYJXW4B655B,ABA Outreach Services Contract Addendum 2023-24.pdf,27/09/2023,Regular Meeting,ABA Outreach Contract Addendum
CUYN3U5E03BE,Resolution Declaring Transportation Impractical.pdf,23/08/2023,Regular Meeting,Payment in Lieu of Transportation Resolution
CUYQZL63AFA3,XC SS 08.23.2023.pdf,23/08/2023,Regular Meeting,Supplemental Recommendations
CUYQX26B5F5D,Bank Reconciliations FY24.xlsx - July 2023.pdf,23/08/2023,Regular Meeting,Financial Report
CUYQXB6B6992,Brecksville Broadview Heights Routes 2023 -2024.pdf,23/08/2023,Regular Meeting,2023-2024 Bus Routes
CUZMBD59F90B,"October 11, 2022 - REVISED ag2266.pdf",,,
CUZMBG59F90E,"October 11, 2022 - REVISED ag2266.docx",,,
CUZNKR5FD1DF,po8120 VOLUNTEERS.pdf,27/09/2023,Regular Meeting,New/Replacement Board Policy ~ Final Reading
CUZNKV5FD1E2,po 3120.09.pdf,27/09/2023,Regular Meeting,New/Replacement Board Policy ~ Final Reading
CUZNKY5FD1E4,po4120.09.pdf,27/09/2023,Regular Meeting,New/Replacement Board Policy ~ Final Reading
CV2NS46137F9,FY24 Monthly CFO Report.pdf,23/08/2023,Regular Meeting,Financial Report
CV6JKP4CD441,OSC Advertising and Receiving Bids for School Bus Chassis and Bodies_Sept 2023.pdf,27/09/2023,Regular Meeting,Bus Purchasing Resolution
SITE_LOGO,"BBHCSD_Print, Login & Scoreboard.png",,,
PRINT_LOGO,"BBHCSD_Print, Login & Scoreboard.png",,,
WELCOME_IMAGE,BBHCSD_Welcome-Image.png,,,
CVDQ2K67313F,CTE Waiver Resolution 23-24.pdf,27/09/2023,Regular Meeting,CTE Waiver Resolution
CVEPB8632597,ESCNEO 2023-2024 Student Placement Agreement.pdf,27/09/2023,Regular Meeting,ESC Service Agreement
CVEPBA632727,ESCNEO Student Placement Cost Memo To District 2023-2024.pdf,27/09/2023,Regular Meeting,ESC Service Agreement
CVFFKN3F842F,BBHHS Overnight Field Trips 2023-24.pdf,27/09/2023,Regular Meeting,BBH High School Field Trips
CVFFKZ3F90C2,2022 SR OMUN Student Guide - FINAL.pdf,27/09/2023,Regular Meeting,BBH High School Field Trips
CVFFQ4402AEB,Cocchiola - BBHHS Band - Smoky Mountain Adventure Five-Day 230 students.pdf,27/09/2023,Regular Meeting,BBH High School Field Trips
CVFFQR404338,Youth for Government Overnight Trip Itinerary.pdf,27/09/2023,Regular Meeting,BBH High School Field Trips
CVKNFX5FC924,STEPS Educational Group Contract 2023-2024.pdf,27/09/2023,Regular Meeting,STEPS Educational Group Contract
CVPH3W4691AB,Minutes_Regular Board Meeting_08.23.2023.pdf,27/09/2023,Regular Meeting,
CVPH5C46CB4E,Minutes_Regular Board Meeting_08.23.2023.pdf,27/09/2023,Regular Meeting,Minutes
CVVH3B464AF6,"XC SS, Fall, 23-24.pdf",27/09/2023,Regular Meeting,Supplemental Recommendations
CVVP4A5CFA98,August Checks.pdf,27/09/2023,Regular Meeting,Financial Report
CVVP4C5CFA9F,Annual Spending Plan - August.pdf,27/09/2023,Regular Meeting,Financial Report
CVVP4E5CFAA6,Cash Position - August.pdf,27/09/2023,Regular Meeting,Financial Report
